,Names,Gender,Hair_Color,Tags,Anime,Manga
219,Fuuko IBUKI,Female,Green Hair,"['Airhead', 'Clumsy']","['Clannad', 'Clannad After Story', 'Kaginado Season 2']","['Clannad', 'Clannad: 4-Koma Manga Gekijou', 'Clannad: Hikaru Mimamoru Sakamichi de']"
220,Azusa NAKANO,Female,Black Hair,"['Band Member', 'Guitarist', 'High School Student', 'Musician', 'Pigtails', 'Teenager']","['K-On!', 'K-On!!', 'K-On! Live House!', 'K-On! Movie', 'K-On!!: Plan!', 'K-On! Ura-On!', 'K-On!! Ura-On!!']","['K-On!', 'K-On! Anthology Comic', 'K-On! High School']"
221,Ling YAO,Male,Black Hair,"['Closed Eyes', 'Foreigner', 'Martial Artist', 'Ponytail', 'Royalty', 'Sword Fighter', 'Teenager']","['Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater']","['Fullmetal Alchemist', 'Fullmetal Alchemist: The Complete Four-Panel Comics']"
222,Shouko NISHIMIYA,Female,Brown Hair,"['Deaf', 'Disabled']","['A Silent Voice', 'A Silent Voice Specials']","['A Silent Voice', 'A Silent Voice (Pilot)', 'A Silent Voice Special Book']"
223,Masaomi KIDA,Male,Brown Hair,"['Flirt', 'High School Student', 'Piercings', 'Teenager']","['Durarara!!', 'Durarara!! Specials', 'Durarara!! X2', 'Durarara!! X2: My Heart Is in the Pattern of a Hot Pot', 'Durarara!! X2 The Second Arc', 'Durarara!! X2 The Third Arc']","['Durarara!!', 'Durarara!! (Light Novel)', 'Durarara!! Re;Dollars Arc', 'Durarara!! Saika Arc', 'Durarara!! Yellow Scarves Arc']"
224,Souma YUKIHIRA,Male,Red Hair,"['Cook', 'Headband', 'High School Student', 'Scar', 'Teenager', 'Transfer Student']","['Food Wars! Jump Festa 2015 Special', 'Food Wars! Jump Festa 2016 Special', 'Food Wars! Shokugeki no Souma', 'Food Wars! Shokugeki no Souma OVA', 'Food Wars! The Fifth Plate', 'Food Wars! The Fourth Plate', 'Food Wars! The Second Plate', 'Food Wars! The Third Plate', 'Food Wars! The Third Plate: Erina no Shin Seikatsu', 'Food Wars! The Third Plate: Totsuki Train Arc', 'Food Wars! Toutsuki Juukketsu']","['Food Wars! Shokugeki no Souma', 'Food Wars! Shokugeki no Souma: à la Carte (Light Novel)', 'Food Wars! Shokugeki no Souma (Pilot)', 'Yuuna and the Haunted Hot Springs']"
225,Mikoto MISAKA,Female,Brown Hair,"['Elemental Powers', 'Hot-Headed', 'Lightning Powers', 'Middle School Student', 'Psychic Powers', 'Superpowers', 'Teenager', 'Tomboy', 'Tsundere']","['A Certain Magical Index', 'A Certain Magical Index 10th Anniversary PV', 'A Certain Magical Index II', 'A Certain Magical Index III', 'A Certain Magical Index Movie: The Miracle of Endymion', 'A Certain Magical Index Movie: The Miracle of Endymion Special', 'A Certain Magical Index-tan', 'A Certain Magical Index-tan II', 'A Certain Scientific Railgun', 'A Certain Scientific Railgun OVA', 'A Certain Scientific Railgun S', 'A Certain Scientific Railgun S: All the Important Things I Learned in a Bathhouse', 'A Certain Scientific Railgun Specials', 'A Certain Scientific Railgun S Specials', 'A Certain Scientific Railgun T', 'A Certain Scientific Railgun T: Motto Marutto Railgun', 'Okami-san & Her Seven Companions', 'Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne']","['A Certain Everyday Index-san', 'A Certain Idol Accelerator', 'A Certain Magical Index', 'A Certain Magical Index: Apocrypha Archive (Light Novel)', 'A Certain Magical Indexchu', 'A Certain Magical Index (Light Novel)', 'A Certain Magical Index: New Testament (Light Novel)', 'A Certain Magical Index: New Testament SS (Light Novel)', 'A Certain Magical Index SP (Light Novel)', 'A Certain Magical Index SS (Light Novel)', 'A Certain Magical Index SS: Love Letter Soudatsusen (Light Novel)', 'A Certain Magical Index: The Miracle of Endymion', 'A Certain Magical Virtual-On', 'A Certain Scientific Railgun', 'A Certain Scientific Railgun: Astral Buddy', 'A Certain Scientific Railgun SS: A Superfluous Story, or A Certain Incident’s End (Light Novel)', ""A Certain Vending Machine's Fanfare (Light Novel)"", 'Genesis Testament: A Certain Magical Index (Light Novel)', ""The Circumstances Leading to a Certain Magical Heavy Zashiki Warashi's Simple Killer Princess's Marriage"", ""The Circumstances Leading to a Certain Magical Heavy Zashiki Warashi's Simple Killer Princess's Marriage (Light Novel)"", 'Toaru Kagaku no Mental Out']"
226,Shinobu OSHINO,Female,Blonde Hair,"['Immortal', 'Pointy Ears', 'Sweet Tooth', 'Vampire']","['Bakemonogatari', 'Bakemonogatari Recap', 'Hanamonogatari', 'Kizumonogatari Part 1: Tekketsu', 'Kizumonogatari Part 2: Nekketsu', 'Kizumonogatari Part 3: Reiketsu', 'Koyomi History', 'Koyomimonogatari', 'Monogatari Series: Second Season', 'Nekomonogatari (Black)', 'Nisemonogatari', 'Owarimonogatari', 'Owarimonogatari II', 'Owarimonogatari II Recaps', 'Tsukimonogatari', 'Zoku Owarimonogatari']","['Amarimonogatari (Light Novel)', 'Bakemonogatari: Monster Tale (Light Novel)', 'Hanamonogatari: Flower Tale (Light Novel)', 'Kabukimonogatari: Dandy Tale (Light Novel)', 'Kizumonogatari: Wound Tale (Light Novel)', 'Koimonogatari: Love Tale (Light Novel)', 'Koyomimonogatari: Calendar Tale (Light Novel)', 'Nekomonogatari: Cat Tale (Light Novel)', 'Nisemonogatari: Fake Tale (Light Novel)', 'Onimonogatari: Demon Tale (Light Novel)', 'Otorimonogatari: Decoy Tale (Light Novel)', 'Owarimonogatari: End Tale (Light Novel)', 'Shinobumonogatari (Light Novel)', 'Tsukimonogatari: Possession Tale (Light Novel)', 'Wazamonogatari (Light Novel)', 'Yoimonogatari (Light Novel)', 'Zoku Owarimonogatari: End Tale (Cont.) (Light Novel)']"
227,Shunsui KYORAKU,Male,Brown Hair,"['Agent of the Afterlife', 'Dual Wielder', 'Facial Hair', 'Flirt', 'Hat', 'Heavy Drinker', 'Lazy', 'Shinigami', 'Sword Fighter']","['Bleach', 'Bleach Movie 1: Memories of Nobody', 'Bleach Movie 2: The DiamondDust Rebellion', 'Bleach Movie 3: Fade to Black', 'Bleach: Sennen Kessen-hen', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach (2021)', 'Bleach: Spirits Are Forever with You (Light Novel)', 'Bleach: The Honey Dish Rhapsody (Light Novel)']"
228,Fumikage TOKOYAMI,Male,Black Hair,"['Darkness Powers', 'Elemental Powers', 'High School Student', 'Superpowers', 'Teenager']","['My Hero Academia', 'My Hero Academia 2', 'My Hero Academia 3', 'My Hero Academia 4', 'My Hero Academia 5', 'My Hero Academia 6', 'My Hero Academia: Jump Festa 2016 Special', 'My Hero Academia: Make It! Do-or-Die Survival Training', 'My Hero Academia Movie 2: Heroes:Rising', ""My Hero Academia Movie 3: World Heroes' Mission"", 'My Hero Academia Movie: Two Heroes', 'My Hero Academia Movie: Two Heroes Picture Drama', 'My Hero Academia: Tabidachi', 'My Hero Academia: Training of the Dead', 'My Hero Academia (Web)', 'Peace Sign']",['My Hero Academia']
229,Haku,Male,Black Hair,['Magic User'],"['Iblard Jikan', 'Spirited Away']",['Spirited Away']
230,Shigure SOHMA,Male,Black Hair,"['Adult', 'Cursebearer', 'Flirt', 'Mischievous', 'Pervert', 'Smoker', 'Writer']","['Fruits Basket', 'Fruits Basket 1st Season', 'Fruits Basket 2nd Season', 'Fruits Basket: Prelude', 'Fruits Basket the Final Season']","['Fruits Basket', 'Fruits Basket Another', 'Fruits Basket: The Three Musketeers Arc', 'Fruits Basket: The Three Musketeers Arc 2']"
231,Hiyori IKI,Female,Brown Hair,"['High School Student', 'Psychic Powers', 'Spirit Seer', 'Superpowers', 'Teenager', 'Wealthy']","['Noragami', 'Noragami Aragoto', 'Noragami Aragoto OVA', 'Noragami: Noraneko', 'Noragami OVA', 'Tia: Heart Realize', 'Tia: Nirvana']","['Noragami: Stray God', 'Noragami: Stray Stories']"
232,Haruka NANASE,Male,Black Hair,"['Athlete', 'Stoic', 'Swimmer', 'Teenager']","['Free! Dive to the Future', 'Free! Eternal Summer', 'Free! Eternal Summer: Forbidden All Hard!', 'Free! Iwatobi Swim Club', 'Free! Iwatobi Swim Club Specials', 'Free! Movie: The Final Stroke - Zenpen', 'Free! Road to the World: The Dream', 'Free! Take Your Marks', 'Free! Take Your Marks - Character Butai Aisatsu', 'Free! Timeless Medley: The Bond', 'Free! Timeless Medley: The Promise', 'High☆Speed! Free! Starting Days', 'Kyoto Animation CM: Suiei-hen']","['High Speed!', 'High Speed! (Light Novel)']"
233,Zero Two,Female,Pink Hair,"['Headband', 'Horns', 'Mecha Pilot', 'Sweet Tooth']",['DARLING in the FRANXX'],"['DARLING in the FRANXX', 'DARLING in the FRANXX! 4-koma']"
234,Hollow Ichigo,Male,White Hair,"['Bloodthirsty', 'Sadistic', 'Sword Fighter']",['Bleach'],['Bleach']
235,Meliodas,Male,Blonde Hair,"['Deadly Chef', 'Hair Antenna', 'Magic User', 'Pervert', 'Rosy Cheeks', 'Sword Fighter', 'Tattoo', 'Traveler']","['Gekidan Nanatsu no Taizai', 'The Seven Deadly Sins', ""The Seven Deadly Sins: Dragon's Judgement"", 'The Seven Deadly Sins: Imperial Wrath of the Gods', 'The Seven Deadly Sins Movie: Prisoners of the Sky', 'The Seven Deadly Sins OVA', 'The Seven Deadly Sins: Revival of the Commandments', 'The Seven Deadly Sins: Revival of the Commandments OVA', 'The Seven Deadly Sins: Revival of the Commandments Prologue', 'The Seven Deadly Sins: Signs of Holy War']","['Fairy Tail x The Seven Deadly Sins Christmas Special', 'The Seven Deadly Sins', 'The Seven Deadly Sins Academy', 'The Seven Deadly Sins: Four Knights of the Apocalypse', ""The Seven Deadly Sins: King's Road to Manga"", 'The Seven Deadly Sins Production', 'The Seven Deadly Sins: The Vampires of Edinburgh', 'The Seven Stories']"
236,Minene URYUU,Female,Purple Hair,"['Adult', 'Biker', 'Bloodthirsty', 'Explosives Expert', 'Eye Patch', 'Orphan', 'Ruthless', 'Superpowers', 'Terrorist', 'Tsundere']","['Future Diary', 'Future Diary OVA', 'Future Diary: Redial']","['Future Diary', 'Future Diary (Light Novel)', 'Future Diary: Mosaic', 'Future Diary: Paradox', 'Future Diary: Redial']"
237,Mayuri SHIINA,Female,Black Hair,"['Cosplayer', 'Hat', 'Part Time Employee', 'Teenager']","['Steins;Gate', 'Steins;Gate 0', ""Steins;Gate 0: Valentine's of Crystal Polymorphism -Bittersweet Intermedio-"", 'Steins;Gate: Egoistic Poriomania', 'Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero', 'Steins;Gate Movie: Load Region of Deja Vu', 'Steins;Gate: Soumei Eichi no Cognitive Computing']","['Steins;Gate', 'Steins;Gate!', 'Steins;Gate: Aishin Meizu no Babel', 'Steins;Gate: Boukan no Rebellion', 'Steins;Gate: Chouyoku no Divergence - Reverse (Light Novel)', 'Steins;Gate: Eigoukaiki no Pandora', 'Steins;Gate: Heiji Kyokusen no Epigraph', 'Steins;Gate: Heni Kuukan no Octet', 'Steins;Gate: Hiyoku Renri no Future Honey', 'Steins;Gate: Hiyoku Renri no Sweets Honey', 'Steins;Gate: Onshuu no Brownian Motion', 'Steins;Gate: Shijou Saikyou no Slight Fever', 'Steins;Gate: Youen no Valhalla (Light Novel)']"
238,Aru AKISE,Male,Grey Hair,"['Analytical', 'Detective', 'LGBT+', 'Middle School Student', 'Teenager']","['Future Diary', 'Future Diary: Redial', 'Future Diary: Ura Mirai Nikki']","['Future Diary', 'Future Diary (Light Novel)', 'Future Diary: Mosaic', 'Future Diary: Paradox', 'Future Diary: Redial']"
239,Rikka TAKANASHI,Female,Purple Hair,"['Bandages', 'Chuunibyou', 'Club President', 'Eye Patch', 'Hair Antenna', 'Hair Ribbons', 'High School Student', 'Teenager']","['Love, Chunibyo & Other Delusions!', 'Love, Chunibyo & Other Delusions! Depth of Field: Love and Hate Theater', 'Love, Chunibyo & Other Delusions! Heart Throb', 'Love, Chunibyo & Other Delusions! Heart Throb Lite', 'Love, Chunibyo & Other Delusions: Heart Throb Specials', 'Love, Chunibyo & Other Delusions! Heart Throb: The Rikka Wars', 'Love, Chunibyo & Other Delusions! Lite', 'Love, Chunibyo & Other Delusions! Movie: Take On Me', 'Love, Chunibyo & Other Delusions! Movie: Take On Me - Kotatsu DE Photo Session', 'Love, Chunibyo & Other Delusions! Movie: Take On Me Mini-Drama', 'Love, Chunibyo, & Other Delusions! Rikka Version', 'Love, Chunibyo & Other Delusions! Sparkling... Slapstick Noel']","['Love, Chunibyo & Other Delusions (Light Novel)']"
240,Decim,Male,White Hair,"['Agent of the Afterlife', 'Bartender', 'Blinding Bangs', 'Bow Tie', 'Exotic Eyes', 'High Stakes Game Master', 'Stoic']","['Death Billiards', 'Death Parade']",
241,Rangiku MATSUMOTO,Female,Orange Hair,"['Agent of the Afterlife', 'Flirt', 'Heavy Drinker', 'Lazy', 'Mole', 'Shinigami', 'Sword Fighter']","['Bleach', 'Bleach Movie 1: Memories of Nobody', 'Bleach Movie 2: The DiamondDust Rebellion', 'Bleach Movie 3: Fade to Black', 'Bleach Movie 4: Hell Verse', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach (2021)', 'Bleach: The Honey Dish Rhapsody (Light Novel)', 'Bleach Unmasked Short Stories']"
242,Kyou FUJIBAYASHI,Female,Purple Hair,"['Tsundere', 'Twin']","['Clannad', 'Clannad After Story', 'Clannad: Another World, Kyou Chapter', 'Clannad Movie', 'Kaginado Season 2']","['Clannad', 'Clannad: 4-Koma Manga Gekijou', 'Clannad: Hikaru Mimamoru Sakamichi de']"
243,Crona,Pink Hair,,"['Blood Power', 'Shy', 'Sword Fighter', 'Teenager']",['Soul Eater'],['Soul Eater']
244,Giyuu TOMIOKA,Male,Black Hair,"['Adult', 'Demon Hunter', 'Ponytail', 'Stoic', 'Sword Fighter']","['Demon Slayer: Kimetsu no Yaiba', 'Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc', 'Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train', 'Demon Slayer: Kimetsu no Yaiba - Mugen Train', 'Kimetsu Gakuen: Valentine-hen']","['Demon Slayer: Kimetsu no Yaiba', 'Demon Slayer: Kimetsu no Yaiba - One-Winged Butterfly (Light Novel)', 'Demon Slayer: Kimetsu no Yaiba - Stories of Water and Flame', 'Demon Slayer: Kimetsu no Yaiba - The Flower of Happiness (Light Novel)', 'Kimetsu no Yaiba Koushiki Spin-off: Kimetsu no Aima!', 'Kimetsu no Yaiba: Rengoku Kyoujurou Gaiden', 'Kimetsu no Yaiba: Tomioka Giyuu Gaiden']"
245,Levy MCGARDEN,Female,Blue Hair,"['Bookworm', 'Headband', 'Magic User']","['Fairy Tail', 'Fairy Tail 2', 'Fairy Tail 2 OVA', 'Fairy Tail: Final Season', 'Fairy Tail Movie 1: Phoenix Priestess', 'Fairy Tail Movie 2: Dragon Cry', 'Fairy Tail OVA']","['Fairy Girls', 'Fairy Tail', 'Fairy Tail: 100 Years Quest', 'Fairy Tail Gaiden', ""Mashima Hero's""]"
246,Masami IWASAWA,Female,Red Hair,"['Band Member', 'Guitarist', 'Musician', 'Singer']","['Angel Beats!', ""Angel Beats! Hell's Kitchen"", 'Angel Beats! Stairway to Heaven']","[""Angel Beats! Heaven's Door"", 'Angel Beats! The 4-koma: Bokura no Sensen Koushinkyoku', 'Angel Beats! The 4-koma: Osora no Shinda Sekai kara', 'Angel Beats! Track Zero (Light Novel)']"
247,Ryunosuke TANAKA,Male,Black Hair,"['Airhead', 'Athlete', 'Buzz Cut', 'High School Student', 'Hot-Headed', 'Teenager', 'Volleyball Player']","['Haikyuu!!', 'Haikyuu!! Karasuno High School vs Shiratorizawa Academy', 'Haikyuu!! Lev Kenzan!', 'Haikyuu!! Movie 1: Owari to Hajimari', 'Haikyuu!! Movie 2: Shousha to Haisha', 'Haikyuu!! Movie 3: Talent and Sense', 'Haikyuu!! Movie 4: Battle of Concepts', 'Haikyuu!! Second Season', 'Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun', 'Haikyuu!! To the Top', 'Haikyuu!! To the Top: Part II', 'Haikyuu!! vs. ""Akaten""']","['Haikyuu!!', 'Haikyuu!! A Party Reignited', 'Haikyuu!! (Pilot)', 'Haikyuu!! Shousetsuban!! Karasuno Koukou (Light Novel)', ""Let's! Haikyuu!?"", 'Nisekyuu!!']"
248,Tobi,Male,Black Hair,"['Masks', 'Ninja']","['Naruto Shippuden', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Shippuden OVA: Sage Naruto vs Sasuke', 'Naruto Spin-Off: Rock Lee & His Ninja Pals']","['Naruto', 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth""]"
249,Ash KETCHUM,Male,Black Hair,"['Big Ego', 'Child', 'Face Markings', 'Gloves', 'Hat', 'Hot-Headed', 'Hyperactive', 'Monster Tamer', 'Traveler']","['Arceus, the One Called God', 'A Ripple in Time', 'Planetarium Pokémon: Aurora kara no Message', 'Pokemon', 'Pokemon Advanced', 'Pokemon: Black & White', 'Pokemon: Black & White: Adventures in Unova', 'Pokemon: Black & White: Adventures in Unova and Beyond', 'Pokemon Black & White: Dekorora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!', 'Pokemon: Black & White - Rival Destinies', 'Pokemon Chronicles', 'Pokemon: Diamond & Pearl', 'Pokemon: Diamond & Pearl Special', 'Pokemon: Fall Special', 'Pokemon Journeys', 'Pokemon: Mewtwo - Prologue to Awakening', 'Pokemon: Mewtwo Returns', 'Pokemon Movie 10: The Rise of Darkrai', 'Pokemon Movie 11: Giratina and the Sky Warrior', 'Pokemon Movie 12: Arceus and the Jewel of Life', 'Pokemon Movie 13: Zoroark - Master of Illusions', 'Pokemon Movie 14: Black - Victini and Reshiram', 'Pokemon Movie 14: White - Victini and Zekrom', 'Pokemon Movie 15: Kyurem vs. The Sword of Justice', 'Pokemon Movie 16: Genesect and the Legend Awakened', 'Pokemon Movie 17: Diancie and the Cocoon of Destruction', 'Pokemon Movie 18: Hoopa and the Clash of Ages', 'Pokemon Movie 19: Volcanion and the Mechanical Marvel', 'Pokemon Movie 1: The First Movie', 'Pokemon Movie 20: I Choose You!', 'Pokemon Movie 21: The Power of Us', 'Pokemon Movie 22: Mewtwo Strikes Back Evolution', 'Pokemon Movie 23: Secrets of the Jungle', 'Pokemon Movie 2: The Power of One', 'Pokemon Movie 3: Spell of the Unown', 'Pokemon Movie 4: Pokemon 4Ever', 'Pokemon Movie 5: Heroes - Latias and Latios', 'Pokemon Movie 6: Jirachi Wish Maker', 'Pokemon Movie 7: Destiny Deoxys', 'Pokemon Movie 8: Lucario and The Mystery of Mew', 'Pokemon Movie 9: Pokemon Ranger and the Temple of the Sea', 'Pokemon Mystery Dungeon: Gates to Infinity', 'Pokemon: Pikachu and Pichu', ""Pokemon: Pikachu's Rescue Adventure"", ""Pokemon: Pikachu's Summer Vacation"", ""Pokemon: Pikachu's Winter Vacation"", ""Pokemon: Pikachu's Winter Vacation 2000"", ""Pokemon: Pikachu's Winter Vacation 2001"", ""Pokemon: Pikachu, What's This Key?"", 'Pokemon Sun & Moon', 'Pokemon Sun & Moon Planetarium', 'Pokemon: The Mastermind of Mirage Pokemon', 'Pokemon XY', 'Pokemon XY: Hoopa no Odemashi Daisakusen!!', ""Pokemon XY: New Year's Eve 2014 Super Mega Special"", 'Pokemon XY: New Year Special', 'Pokemon XY: Pikachu the Movie', 'Pokemon XY: Sora no Hahen', 'Pokemon XY Special: Road to Kalos', 'Pokemon XY&Z', 'Pokemon XY&Z: Subete no Nazo wo Tokiakase!', 'TV-ban Pokemon Special Masara Town-hen Recaps']","['Pokémon: Arceus and the Jewel of Life', 'Pokemon: Giratina & the Sky Warrior!', 'Pokemon: Mewtwo Strikes Back - Evolution', 'Pokemon Ranger and the Temple of the Sea', 'Pokemon: The Electric Tale of Pikachu', 'Pokemon the Movie: Genesect and the Legend Awakened', 'Pokemon the Movie: Kyurem vs. The Sword of Justice', 'Pokemon the Movie: White - Victini and Zekrom', 'Pokemon: The Rise of Darkrai', 'Pokemon Zensho', 'Pokémon: Zoroark - Master of Illusions', 'Satoshi to Pikachuu']"
250,Hatsuharu SOHMA,Male,Multicolored Hair,"['Cursebearer', 'High School Student', 'Martial Artist', 'No Sense of Direction', 'Piercings', 'Split Personality', 'Tattoo', 'Teenager']","['Fruits Basket', 'Fruits Basket 1st Season', 'Fruits Basket 2nd Season', 'Fruits Basket: Prelude', 'Fruits Basket the Final Season']",['Fruits Basket']
251,Akeno HIMEJIMA,Female,Black Hair,"['Demon', 'Force Field Powers', 'Hair Ribbons', 'High School Student', 'Ponytail', 'Rapunzel Hair', 'Sadistic', 'Teenager']","['High School DxD', 'High School DxD BorN', 'High School DxD BorN Specials', 'High School DxD BorN: Yomigaeranai Fushichou', 'High School DxD Hero', 'High School DxD Hero: Holiness Behind the Gym', 'High School DxD NEW', 'High School DxD NEW: Oppai, Tsutsumimasu!', 'High School DxD OVA', 'High School DxD Specials']","['High School DxD', ""High School DxD: Asia & Koneko's Secret Contract!?"", 'High School DxD DX (Light Novel)', 'High School DxD (Light Novel)', 'Shin High School DxD (Light Novel)']"
252,Simon,Male,Blue Hair,"['Bandages', 'Goggles', 'Mecha Pilot', 'Orphan']","[""Gurren Lagann Movie 1: Childhood's End"", 'Tengen Toppa Gurren Lagann', ""Tengen Toppa Gurren Lagann Gekijouban Zenyasai Special: Viral's Sweet Dream"", 'Tengen Toppa Gurren Lagann: Kirameki Yoko Box ~Pieces of Sweet Stars~', 'Tengen Toppa Gurren Lagann: Lagann-hen', 'Tengen Toppa Gurren Lagann OVA', 'Tengen Toppa Gurren Lagann Parallel Works', 'Tengen Toppa Gurren Lagann Parallel Works 2']","['Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: 4-koma Kingdom - Yoko no Oheso-hen', 'Tengen Toppa Gurren Lagann: Guren Gakuenhen', 'Tengen Toppa Gurren Lagann (Light Novel)', 'Tengen Toppa Gurren Lagann: Rasen Shounentan']"
